School ID,School ID,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
609835, CAMERON , Network 5 ,  618 ,  2 ,0.3%,  100 ,16.2%,  - ,0.0%,  1 ,0.2%,  512 ,82.8%,  2 ,0.3%,  - ,0.0%,  1 ,0.2%,  - ,0.0%
610539, CAMRAS , ISP ,  721 ,  32 ,4.4%,  10 ,1.4%,  - ,0.0%,  2 ,0.3%,  659 ,91.4%,  6 ,0.8%,  10 ,1.4%,  2 ,0.3%,  - ,0.0%
609836, CANTY , Network 1 ,  806 ,  355 ,44.0%,  16 ,2.0%,  - ,0.0%,  2 ,0.2%,  399 ,49.5%,  16 ,2.0%,  18 ,2.2%,  - ,0.0%,  - ,0.0%
610024, CARDENAS , ISP ,  766 ,  9 ,1.2%,  24 ,3.1%,  - ,0.0%,  - ,0.0%,  731 ,95.4%,  2 ,0.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609837, CARNEGIE , Network 9 ,  406 ,  4 ,1.0%,  392 ,96.6%,  - ,0.0%,  - ,0.0%,  6 ,1.5%,  1 ,0.2%,  3 ,0.7%,  - ,0.0%,  - ,0.0%
609839, CARROLL , Network 10 ,  408 ,  8 ,2.0%,  336 ,82.4%,  - ,0.0%,  1 ,0.2%,  60 ,14.7%,  3 ,0.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609842, CARSON , ISP ,  748 ,  3 ,0.4%,  20 ,2.7%,  - ,0.0%,  2 ,0.3%,  720 ,96.3%,  2 ,0.3%,  1 ,0.1%,  - ,0.0%,  - ,0.0%
609844, CARTER , Network 9 ,  280 ,  - ,0.0%,  267 ,95.4%,  - ,0.0%,  - ,0.0%,  8 ,2.9%,  4 ,1.4%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
609845, CARVER G , Network 13 ,  467 ,  - ,0.0%,  463 ,99.1%,  - ,0.0%,  - ,0.0%,  4 ,0.9%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609760, CARVER MILITARY HS , Network 17 ,  410 ,  5 ,1.2%,  166 ,40.5%,  - ,0.0%,  1 ,0.2%,  236 ,57.6%,  2 ,0.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
