School ID,Educational Unit,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
610287, ASHBURN , Network 10 ,  350 ,  3 ,0.9%,  281 ,80.3%,  - ,0.0%,  1 ,0.3%,  63 ,18.0%,  1 ,0.3%,  1 ,0.3%,  - ,0.0%,  - ,0.0%
610268, ASHE , Network 12 ,  355 ,  - ,0.0%,  347 ,97.7%,  - ,0.0%,  - ,0.0%,  3 ,0.8%,  1 ,0.3%,  1 ,0.3%,  1 ,0.3%,  2 ,0.6%
609782, AUDUBON , Network 4 ,  574 ,  389 ,67.8%,  9 ,1.6%,  - ,0.0%,  - ,0.0%,  101 ,17.6%,  46 ,8.0%,  28 ,4.9%,  - ,0.0%,  1 ,0.2%
610518, AUSTIN CCA HS , Network 15 ,  167 ,  2 ,1.2%,  157 ,94.0%,  - ,0.0%,  - ,0.0%,  8 ,4.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609786, AVALON PARK , Network 12 ,  226 ,  - ,0.0%,  223 ,98.7%,  - ,0.0%,  - ,0.0%,  2 ,0.9%,  1 ,0.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610325, AVONDALE-LOGANDALE , Network 4 ,  509 ,  5 ,1.0%,  36 ,7.1%,  - ,0.0%,  1 ,0.2%,  452 ,88.8%,  7 ,1.4%,  5 ,1.0%,  3 ,0.6%,  - ,0.0%
610544, AZUELA , ISP ,  709 ,  7 ,1.0%,  8 ,1.1%,  - ,0.0%,  4 ,0.6%,  687 ,96.9%,  2 ,0.3%,  1 ,0.1%,  - ,0.0%,  - ,0.0%
610563, BACK OF THE YARDS HS , ISP ,"  1,004 ",  5 ,0.5%,  17 ,1.7%,  - ,0.0%,  5 ,0.5%,  961 ,95.7%,  - ,0.0%,  16 ,1.6%,  - ,0.0%,  - ,0.0%
609788, BARNARD , Network 10 ,  263 ,  7 ,2.7%,  240 ,91.3%,  - ,0.0%,  - ,0.0%,  9 ,3.4%,  6 ,2.3%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
609789, BARRY , Network 4 ,  440 ,  8 ,1.8%,  16 ,3.6%,  - ,0.0%,  3 ,0.7%,  411 ,93.4%,  - ,0.0%,  2 ,0.5%,  - ,0.0%,  - ,0.0%
609790, BARTON , Network 11 ,  384 ,  1 ,0.3%,  349 ,90.9%,  - ,0.0%,  - ,0.0%,  32 ,8.3%,  2 ,0.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609791, BASS , Network 11 ,  347 ,  1 ,0.3%,  331 ,95.4%,  - ,0.0%,  - ,0.0%,  14 ,4.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  1 ,0.3%
609792, BATEMAN , Network 1 ,  891 ,  170 ,19.1%,  19 ,2.1%,  - ,0.0%,  4 ,0.4%,  637 ,71.5%,  21 ,2.4%,  38 ,4.3%,  2 ,0.2%,  - ,0.0%
