School ID, School Name , Network ,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
610054,MARSH,Network 13,612,222,36.3%,125,20.4%,493,80.6%
609723,MARSHALL HS,Network 15,174,2,1.1%,55,31.6%,157,90.2%
610056,MASON,Network 7,244,2,0.8%,59,24.2%,216,88.5%
609724,MATHER HS,Network 14,1683,714,42.4%,280,16.6%,1394,82.8%
610059,MAYER,Network 4,702,13,1.9%,63,9.0%,57,8.1%
610290,MAYS,Network 11,239,20,8.4%,35,14.6%,185,77.4%
609968,MCAULIFFE,Network 4,561,248,44.2%,75,13.4%,433,77.2%
610063,MCCORMICK,Network 7,429,220,51.3%,86,20.0%,336,78.3%
610269,MCCUTCHEON,Network 2,347,162,46.7%,124,35.7%,247,71.2%
610066,MCDADE,Network 12,217,1,0.5%,5,2.3%,87,40.1%
610312,MCDOWELL,ISP,115,0,0.0%,16,13.9%,86,74.8%
610067,MCKAY,Network 10,617,190,30.8%,101,16.4%,460,74.6%
610282,MCNAIR,Network 3,327,34,10.4%,87,26.6%,274,83.8%
610070,MCPHERSON,Network 2,738,204,27.6%,179,24.3%,331,44.9%
610293,MELODY,Network 5,318,7,2.2%,57,17.9%,262,82.4%
609902,METCALFE,Network 13,309,3,1.0%,44,14.2%,264,85.4%
610062,MIÑOSO,Network 6,318,38,11.9%,83,26.1%,248,78.0%
610171,MIRELES,Network 12,451,149,33.0%,59,13.1%,366,81.2%
610073,MITCHELL,ISP,386,35,9.1%,48,12.4%,104,26.9%
610276,MOLLISON,Network 9,236,1,0.4%,23,9.7%,195,82.6%
610203,MONARCAS,Network 8,804,445,55.3%,124,15.4%,614,76.4%
610074,MONROE,Network 4,633,220,34.8%,109,17.2%,501,79.1%
400116,MONTESSORI ENGLEWOOD,Charter,347,42,12.1%,57,16.4%,287,82.7%
610076,MOOS,Network 5,454,180,39.6%,59,13.0%,301,66.3%
609725,MORGAN PARK HS,Network 16,1163,11,0.9%,168,14.4%,946,81.3%
610077,MORRILL,Network 10,500,242,48.4%,63,12.6%,417,83.4%
610257,MORTON,Network 5,210,5,2.4%,32,15.2%,148,70.5%
609804,MOSAIC,Network 2,718,412,57.4%,84,11.7%,561,78.1%
610082,MOUNT GREENWOOD,ISP,1155,15,1.3%,167,14.5%,167,14.5%
610086,MOUNT VERNON,Network 13,248,0,0.0%,46,18.5%,209,84.3%
400178,MOVING EVEREST,Charter,770,10,1.3%,112,14.5%,656,85.2%
610088,MOZART,Network 4,484,304,62.8%,95,19.6%,344,71.1%
610385,MULTICULTURAL ARTS HS,Network 15,253,126,49.8%,47,18.6%,215,85.0%
610089,MURPHY,Network 1,487,172,35.3%,93,19.1%,238,48.9%
610090,MURRAY,Network 9,464,3,0.6%,61,13.1%,274,59.1%
400050,NAMASTE,Charter,359,186,51.8%,88,24.5%,267,74.4%
610092,NASH,Network 3,267,30,11.2%,51,19.1%,199,74.5%
610231,NATIONAL TEACHERS,Network 6,768,14,1.8%,70,9.1%,454,59.1%
610093,NEIL,Network 12,253,7,2.8%,103,40.7%,196,77.5%
610094,NETTELHORST,Network 4,646,107,16.6%,52,8.0%,119,18.4%
610284,NEW FIELD,Network 2,572,274,47.9%,107,18.7%,311,54.4%
610193,NEW SULLIVAN,Network 12,419,35,8.4%,107,25.5%,342,81.6%
610095,NEWBERRY,Network 4,330,24,7.3%,60,18.2%,240,72.7%
609793,NICHOLSON,Network 11,439,23,5.2%,55,12.5%,372,84.7%
610096,NIGHTINGALE,Network 8,962,421,43.8%,171,17.8%,783,81.4%
609961,NINOS HEROES,Network 12,276,50,18.1%,28,10.1%,231,83.7%
610097,NIXON,Network 4,641,383,59.8%,80,12.5%,486,75.8%
400058,NLCP - CHRISTIANA HS,Charter,309,3,1.0%,83,26.9%,303,98.1%
400059,NLCP - COLLINS HS,Charter,372,1,0.3%,64,17.2%,361,97.0%
610098,NOBEL,ISP,598,314,52.5%,80,13.4%,507,84.8%
400170,NOBLE - ACADEMY HS,Charter,521,103,19.8%,71,13.6%,439,84.3%
