School ID,School Name,Network,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
609958,Frank W Gunsaulus Elementary Scholastic Academy,Network 8,861.0,277.5,32.24,66.0,7.66,754.0,87.58
609959,John Charles Haines Elementary School,Network 6,661.5,190.5,28.82,31.5,4.76,624.5,94.42
609960,Nathan Hale Elementary School,Network 10,911.5,138.0,15.18,130.0,14.29,702.0,77.07
609961,Ninos Heroes Elementary Academic Center,Network 12,421.5,27.0,6.4,39.5,9.37,414.0,98.25
609963,Alexander Hamilton Elementary School,Network 4,400.0,22.0,5.56,51.0,12.76,127.0,31.9
609964,John H Hamline Elementary School,Network 8,661.5,335.0,50.56,70.0,10.58,653.5,98.81
609966,Charles G Hammond Elementary School,OS4,506.0,238.0,47.04,82.5,16.34,497.0,98.23
609967,William F Finkl Elementary School,Network 7,497.0,172.0,34.62,103.0,20.74,494.0,99.4
609968,Sharon Christa McAuliffe Elementary School,Network 4,703.5,271.0,38.64,81.5,11.56,686.0,97.49
609969,Bret Harte Elementary School,Network 9,369.5,19.0,5.12,67.0,18.12,293.5,79.41
609971,John Harvard Elementary School of Excellence,AUSL,484.5,0.0,0.0,72.0,14.86,478.0,98.66
609972,Helge A Haugan Elementary School,Network 1,,723.0,61.27,138.0,11.68,,97.38
609973,Emiliano Zapata Elementary Academy,Network 7,935.0,461.0,49.34,98.0,10.47,914.0,97.76
609974,Hawthorne Elementary Scholastic Academy,Network 4,574.0,9.5,1.66,55.0,9.58,119.5,20.82
609975,John Hay Elementary Community Academy,Network 3,541.0,11.0,2.03,54.0,9.98,532.0,98.34
609976,Stephen K Hayt Elementary School,Network 2,984.0,404.0,40.58,117.5,11.82,909.0,91.36
609977,Woodlawn Community Elementary School,Network 9,222.5,0.0,0.0,10.0,4.52,214.0,96.2
609978,Wendell Smith Elementary School,Network 13,352.5,0.0,0.0,39.0,11.12,342.0,97.0
609979,Robert Healy Elementary School,Network 6,,327.5,23.28,90.0,6.4,,90.05
